case_id,filepath,doc_type,raw_reply,total_tokens,elapsed_sec,api_error,processed
1000309,/Users/jasonliang/Desktop/plab-parser/kate_files/1000309/Docket.pdf,docket,"{
  ""Judge_initial_assignment_docket_header"": ""Magistrate Judge Craig B. Shaffer"",
  ""Judge_initial_assignment_docket_entry"": ""Judge Philip A. Brimmer"",
  ""Magistrate_assignment_docket_header"": ""Magistrate Judge Boyd N. Boland"",
  ""Magistrate_assignment_docket_entry"": ""Magistrate Judge Boyd N. Boland"",
  ""Trial_start_docket"": ""03/26/2012"",
  ""Verdict_date_docket"": ""04/05/2012"",
  ""Judge_jury_trial_docket"": ""Magistrate Judge Craig B. Shaffer"",
  ""Outcome_docket"": ""defendant"",
  ""Multiple_trials_note"": null
}",39228,5.117901086807251,NA,TRUE
1000309,/Users/jasonliang/Desktop/plab-parser/kate_files/1000309/Judgement.pdf,judgement,"{
  ""Pl_type_judgement"": ""individual"",
  ""Def_type_judgement"": ""corporation"",
  ""Pl_gender_judgement"": ""Female"",
  ""Def_gender_judgement"": null,
  ""Number_pl_judgement"": 1,
  ""Number_def_judgement"": 1,
  ""Outcome_judgement"": ""defendant"",
  ""SeatedJurySize_end"": 8
}",4612,2.383208990097046,NA,TRUE
1000309,/Users/jasonliang/Desktop/plab-parser/kate_files/1000309/Minute_Entry_Day1.pdf,minute_day1,"{
  ""Trial_start_minutes"": ""03/26/2012"",
  ""Judge_jury_trial_minutes"": ""Magistrate Judge Craig B. Shaffer"",
  ""SeatedJurySize_beg"": 8,
  ""JuryPoolSize"": null,
  ""Excused_by_court"": 3,
  ""Plaintiff_challenges"": 3,
  ""Defendant_challenges"": 3,
  ""Voir_dire_time"": 160,
  ""Voir_dire_recess_length"": 18,
  ""Voir_dire_start"": ""09:23 AM"",
  ""Voir_dire_end"": ""11:55 AM"",
  ""Voir_dire_recess_times"": ""11:00 AM to 11:09 AM, 11:52 AM to 11:55 AM"",
  ""VD_extras"": ""At 9:23 AM (voir dire start): Jury panel present; Introduction of the court, counsel and parties, and courtroom personnel; Court's preliminary statements to the jury panel; Jurors sworn for voir dire; Fourteen jurors called to the jury box — all occurred before voir dire by the Court began. At 11:55 AM (voir dire end): Eight selected jurors addressed by court — occurred after challenges were resolved.""
}",7472,9.358207941055298,NA,TRUE
1000309,/Users/jasonliang/Desktop/plab-parser/kate_files/1000309/Minute_Entry_Final.pdf,minute_final,"{
  ""NumberofDaysinTrial"": 9,
  ""Verdict_date_minutes"": ""04/05/2012"",
  ""Delib_start_time"": ""9:31 a.m."",
  ""Delib_end_time"": ""1:03 p.m."",
  ""Pl_type_minutes"": ""individual"",
  ""Def_type_minutes"": ""corporation"",
  ""Pl_gender_minutes"": ""Female"",
  ""Def_gender_minutes"": null,
  ""Number_pl_minutes"": 1,
  ""Number_def_minutes"": 1,
  ""Outcome_minutes"": ""defendant""
}",4942,3.1983249187469482,NA,TRUE
1000309,/Users/jasonliang/Desktop/plab-parser/kate_files/1000309/Verdict.pdf,verdict,"{
  ""Pl_type_verdict"": ""individual"",
  ""Def_type_verdict"": ""corporation"",
  ""Pl_gender_verdict"": ""Female"",
  ""Def_gender_verdict"": null,
  ""Number_pl_verdict"": 1,
  ""Number_def_verdict"": 1,
  ""Outcome_verdict"": ""defendant"",
  ""Verdict_note"": null,
  ""Non_economic_damages_requested"": ""YES"",
  ""Punitive_damages_requested"": ""NO"",
  ""Monetary_award"": 0,
  ""Non_economic_damages_awarded"": 0,
  ""Punitive_damages_awarded"": 0,
  ""Percent_plaintiff_liable"": null,
  ""verdict_date_verdict"": ""04/05/2012""
}",9511,4.056813955307007,NA,TRUE
1002201,/Users/jasonliang/Desktop/plab-parser/kate_files/1002201/Docket.pdf,docket,"{
  ""Judge_initial_assignment_docket_header"": ""Senior Judge Christine M. Arguello"",
  ""Judge_initial_assignment_docket_entry"": ""Judge Lewis T. Babcock"",
  ""Magistrate_assignment_docket_header"": ""Magistrate Judge Kathleen M. Tafoya"",
  ""Magistrate_assignment_docket_entry"": ""Magistrate Judge Kathleen M. Tafoya"",
  ""Trial_start_docket"": ""07/30/2018"",
  ""Verdict_date_docket"": ""08/08/2018"",
  ""Judge_jury_trial_docket"": ""Judge Christine M. Arguello"",
  ""Outcome_docket"": ""defendant"",
  ""Multiple_trials_note"": null
}",31209,6.791213035583496,NA,TRUE
1002201,/Users/jasonliang/Desktop/plab-parser/kate_files/1002201/Judgement.pdf,judgement,"{""Pl_type_judgement"": ""individual"", ""Def_type_judgement"": ""federal agency"", ""Pl_gender_judgement"": ""Male"", ""Def_gender_judgement"": null, ""Number_pl_judgement"": 1, ""Number_def_judgement"": 1, ""Outcome_judgement"": ""defendant"", ""SeatedJurySize_end"": 9}",4352,3.639185905456543,NA,TRUE
1002201,/Users/jasonliang/Desktop/plab-parser/kate_files/1002201/Minute_Entry_Day1.pdf,minute_day1,"{
  ""Trial_start_minutes"": ""07/30/2018"",
  ""Judge_jury_trial_minutes"": ""Chief Judge Marcia S. Krieger"",
  ""SeatedJurySize_beg"": null,
  ""JuryPoolSize"": null,
  ""Excused_by_court"": null,
  ""Plaintiff_challenges"": null,
  ""Defendant_challenges"": null,
  ""Voir_dire_time"": 106,
  ""Voir_dire_recess_length"": 0,
  ""Voir_dire_start"": ""09:51 AM"",
  ""Voir_dire_end"": ""11:37 AM"",
  ""Voir_dire_recess_times"": null,
  ""VD_extras"": ""Jurors sworn for voir dire occurred between the 9:51 AM timestamp and the start of voir dire by the Court""
}",3566,4.3495659828186035,NA,TRUE
1002201,/Users/jasonliang/Desktop/plab-parser/kate_files/1002201/Verdict.pdf,verdict,"{
  ""Pl_type_verdict"": ""individual"",
  ""Def_type_verdict"": ""federal agency"",
  ""Pl_gender_verdict"": ""Male"",
  ""Def_gender_verdict"": null,
  ""Number_pl_verdict"": 1,
  ""Number_def_verdict"": 1,
  ""Outcome_verdict"": ""defendant"",
  ""Verdict_note"": null,
  ""Non_economic_damages_requested"": ""NO"",
  ""Punitive_damages_requested"": ""NO"",
  ""Monetary_award"": 0,
  ""Non_economic_damages_awarded"": null,
  ""Punitive_damages_awarded"": 0,
  ""Percent_plaintiff_liable"": null,
  ""verdict_date_verdict"": ""08/08/2018""
}",4721,3.5353121757507324,NA,TRUE
1002529,/Users/jasonliang/Desktop/plab-parser/kate_files/1002529/Docket.pdf,docket,"{
  ""Judge_initial_assignment_docket_header"": ""Judge William J. Martinez"",
  ""Judge_initial_assignment_docket_entry"": ""Judge Marcia S. Krieger"",
  ""Magistrate_assignment_docket_header"": ""Magistrate Judge Kathleen M. Tafoya"",
  ""Magistrate_assignment_docket_entry"": ""Magistrate Judge Kathleen M. Tafoya"",
  ""Trial_start_docket"": ""10/22/2012"",
  ""Verdict_date_docket"": ""10/25/2012"",
  ""Judge_jury_trial_docket"": ""Judge William J. Martinez"",
  ""Outcome_docket"": ""defendant"",
  ""Multiple_trials_note"": null
}",24310,4.585999965667725,NA,TRUE
