"case_id","Pl_type_verdict","Def_type_verdict","Pl_gender_verdict","Def_gender_verdict","Number_pl_verdict","Number_def_verdict","Outcome_verdict","Verdict_note","Non_economic_damages_requested","Punitive_damages_requested","Monetary_award","Non_economic_damages_awarded","Punitive_damages_awarded","Percent_plaintiff_liable","verdict_date_verdict","Pl_type_judgement","Def_type_judgement","Pl_gender_judgement","Def_gender_judgement","Number_pl_judgement","Number_def_judgement","Outcome_judgement","SeatedJurySize_end","Trial_start_minutes","Judge_jury_trial_minutes","SeatedJurySize_beg","JuryPoolSize","Excused_by_court","Plaintiff_challenges","Defendant_challenges","Voir_dire_time","Voir_dire_start","Voir_dire_end","Voir_dire_recess_length","Voir_dire_recess_times","VD_extras","Pl_type_minutes","Def_type_minutes","Pl_gender_minutes","Def_gender_minutes","Number_pl_minutes","Number_def_minutes","Outcome_minutes","NumberofDaysinTrial","Verdict_date_minutes","Delib_start_time","Delib_end_time","Deliberation_time","Deliberation_time_flag","Judge_initial_assignment_docket_header","Judge_initial_assignment_docket_entry","Magistrate_assignment_docket_header","Magistrate_assignment_docket_entry","Trial_start_docket","Verdict_date_docket","Judge_jury_trial_docket","Outcome_docket","Multiple_trials_note"
1000309,"individual","corporation","Female",NA,"1","1","defendant",NA,"YES","NO","0","0","0",NA,"04/05/2012","individual","corporation","Female",NA,"1","1","defendant","8","03/26/2012","Magistrate Judge Craig B. Shaffer","8",NA,"3","3","3","160","09:23 AM","11:55 AM","18","11:00 AM to 11:09 AM, 11:52 AM to 11:55 AM","At 9:23 AM (voir dire start): Jury panel present; Introduction of the court, counsel and parties, and courtroom personnel; Court's preliminary statements to the jury panel; Jurors sworn for voir dire; Fourteen jurors called to the jury box — all occurred before voir dire by the Court began. At 11:55 AM (voir dire end): Eight selected jurors addressed by court — occurred after challenges were resolved.","individual","corporation","Female",NA,"1","1","defendant","9","04/05/2012","9:31 a.m.","1:03 p.m.",212,NA,"Magistrate Judge Craig B. Shaffer","Judge Philip A. Brimmer","Magistrate Judge Boyd N. Boland","Magistrate Judge Boyd N. Boland","03/26/2012","04/05/2012","Magistrate Judge Craig B. Shaffer","defendant",NA
1002201,"individual","federal agency","Male",NA,"1","1","defendant",NA,"NO","NO","0",NA,"0",NA,"08/08/2018","individual","federal agency","Male",NA,"1","1","defendant","9","07/30/2018","Chief Judge Marcia S. Krieger",NA,NA,NA,NA,NA,"106","09:51 AM","11:37 AM","0","NA","Jurors sworn for voir dire occurred between the 9:51 AM timestamp and the start of voir dire by the Court",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Senior Judge Christine M. Arguello","Judge Lewis T. Babcock","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Kathleen M. Tafoya","07/30/2018","08/08/2018","Judge Christine M. Arguello","defendant",NA
1002529,"individual","city","Male",NA,"1","1","defendant",NA,"NO","NO","0","0","0",NA,"10/25/2012","individual","city","Male",NA,"1","1","defendant","8","10/22/2012","Judge William J. Martínez","8",NA,"2","3","3","42","08:52 AM","10:50 AM","16","10:24 AM to 10:40 AM","At 10:40 Court in Session with jury panel present; at 10:41 Bench conference; at 10:46 Voir dire concluded — challenges listed before jury sworn at 10:50","individual","city","Male",NA,"1","1","plaintiff","4","10/25/2012","12:59","3:38",NA,"one or more days had unresolvable times — verify manually","Judge William J. Martinez","Judge Marcia S. Krieger","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Kathleen M. Tafoya","10/22/2012","10/25/2012","Judge William J. Martinez","defendant",NA
1002912,"corporation","individual, corporation",NA,NA,"2","2","defendant",NA,"NO","NO","0",NA,"0",NA,"07/10/2013","corporation","individual, corporation",NA,"Male","2","2","defendant","7","06/24/2013","Judge R. Brooke Jackson","7","40","2","3","3","146","09:50 AM","12:23 PM","13","10:48 AM to 11:01 AM","At the voir dire start timestamp (9:50 AM), voir dire begins directly. At the voir dire end timestamp (12:23 PM), the court goes into recess after jurors are sworn.","corporation","individual, corporation",NA,"Male","2","2","plaintiff","11","07/10/2013","11:32","3:29 p.m.",NA,"one or more days had unresolvable times — verify manually","Judge R. Brooke Jackson","Judge Christine M. Arguello","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Kathleen M. Tafoya","06/24/2013","07/10/2013","Judge R. Brooke Jackson","defendant",NA
1077,"federal government, individual","corporation","Male",NA,"2","4","plaintiff","False Claims Act hides trial; jury found 5 certificates with major/significant changes knowingly made without replacement certificate; 0 certificates found changed with intent to conceal. Damages not determined by this verdict form.","NO","NO",NA,NA,NA,NA,"03/18/2009","federal government, individual","corporation","Male",NA,"2","4","plaintiff","12","03/09/2009","Senior Judge John L. Kane","12",NA,"4","3","3","88","10:26 AM","12:03 PM","9","11:47 AM to 11:56 AM",NA,"government, individual","corporation","Male",NA,"2","4","plaintiff","7","03/18/2009","9:00 a.m.","3:54 p.m.",421,NA,"Judge John L. Kane","Judge John L. Kane","Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","03/09/2009","03/18/2009","Judge John L. Kane","plaintiff","Two trial sequences: first trial April 28-May 1, 2008 (Days 1-4) on original source jurisdiction/meat certificates issue, which concluded with a jury verdict on 5/1/2008; second trial March 9-18, 2009 (Days 1-7) on hide export certificate claims, which concluded with a verdict on 3/18/2009. The second trial is the final completed trial resulting in the operative judgment. Researcher should verify which trial sequence constitutes the 'final' trial for purposes of outcome determination."
1077,"federal government, individual","corporation","Male",NA,"2","4","plaintiff","False Claims Act hides trial; jury found 5 certificates with major/significant changes knowingly made without replacement certificate; 0 certificates found changed with intent to conceal. Damages not determined by this verdict form.","NO","NO",NA,NA,NA,NA,"03/18/2009","federal government, individual","corporation","Male",NA,"2","4","defendant",NA,"03/09/2009","Senior Judge John L. Kane","12",NA,"4","3","3","88","10:26 AM","12:03 PM","9","11:47 AM to 11:56 AM",NA,"government, individual","corporation","Male",NA,"2","4","plaintiff","7","03/18/2009","9:00 a.m.","3:54 p.m.",421,NA,"Judge John L. Kane","Judge John L. Kane","Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","03/09/2009","03/18/2009","Judge John L. Kane","plaintiff","Two trial sequences: first trial April 28-May 1, 2008 (Days 1-4) on original source jurisdiction/meat certificates issue, which concluded with a jury verdict on 5/1/2008; second trial March 9-18, 2009 (Days 1-7) on hide export certificate claims, which concluded with a verdict on 3/18/2009. The second trial is the final completed trial resulting in the operative judgment. Researcher should verify which trial sequence constitutes the 'final' trial for purposes of outcome determination."
1077,"federal government, individual","corporation","Male",NA,"2","4","plaintiff","False Claims Act hides trial; jury found 5 certificates with major/significant changes knowingly made without replacement certificate; 0 certificates found changed with intent to conceal. Damages not determined by this verdict form.","NO","NO",NA,NA,NA,NA,"03/18/2009","federal government, individual","corporation","Male",NA,"2","4","defendant",NA,"03/09/2009","Senior Judge John L. Kane","12",NA,"4","3","3","88","10:26 AM","12:03 PM","9","11:47 AM to 11:56 AM",NA,"government, individual","corporation","Male",NA,"2","4","plaintiff","7","03/18/2009","9:00 a.m.","3:54 p.m.",421,NA,"Judge John L. Kane","Judge John L. Kane","Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","03/09/2009","03/18/2009","Judge John L. Kane","plaintiff","Two trial sequences: first trial April 28-May 1, 2008 (Days 1-4) on original source jurisdiction/meat certificates issue, which concluded with a jury verdict on 5/1/2008; second trial March 9-18, 2009 (Days 1-7) on hide export certificate claims, which concluded with a verdict on 3/18/2009. The second trial is the final completed trial resulting in the operative judgment. Researcher should verify which trial sequence constitutes the 'final' trial for purposes of outcome determination."
1077,"federal government, individual","corporation","Male",NA,"2","4","plaintiff","False Claims Act hides trial; jury found 5 certificates with major/significant changes knowingly made without replacement certificate; 0 certificates found changed with intent to conceal. Damages not determined by this verdict form.","NO","NO",NA,NA,NA,NA,"03/18/2009","federal government, individual","corporation","Male",NA,"2","4","plaintiff","12","03/09/2009","Senior Judge John L. Kane","12",NA,"4","3","3","88","10:26 AM","12:03 PM","9","11:47 AM to 11:56 AM",NA,"government, individual","corporation","Male",NA,"2","4","plaintiff","7","03/18/2009","9:00 a.m.","3:54 p.m.",421,NA,"Judge John L. Kane","Judge John L. Kane","Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","03/09/2009","03/18/2009","Judge John L. Kane","plaintiff","Two trial sequences: first trial April 28-May 1, 2008 (Days 1-4) on original source jurisdiction/meat certificates issue, which concluded with a jury verdict on 5/1/2008; second trial March 9-18, 2009 (Days 1-7) on hide export certificate claims, which concluded with a verdict on 3/18/2009. The second trial is the final completed trial resulting in the operative judgment. Researcher should verify which trial sequence constitutes the 'final' trial for purposes of outcome determination."
1100303,"corporation, individual","county","Mixed",NA,"5","1","plaintiff",NA,"NO","NO","400004",NA,"0",NA,"12/21/2012","corporation, individual","county","Mixed",NA,"5","2","plaintiff","7","12/18/2012","Judge R. Brooke Jackson","7","23","2","3","3","90","9:46 AM","12:21 PM","65","10:07 AM to 11:12 AM","Court instructs the jury occurred between jurors being sworn and the 12:21 PM recess timestamp","corporation, individual","county","Male",NA,"5","1","plaintiff","4","12/21/2012","9:41 a.m.","11:58 a.m.",137,NA,"Judge R. Brooke Jackson","Judge Philip A. Brimmer","Magistrate Judge Michael E. Hegarty","Magistrate Judge Michael E. Hegarty","12/18/2012","12/21/2012","Judge R. Brooke Jackson","plaintiff",NA
1100767,"individual","individual","Male","Male","1","2","defendant",NA,"NO","YES","0",NA,"0",NA,"09/27/2017",NA,NA,NA,NA,NA,NA,NA,NA,"08/04/2014","Senior District Judge Richard P. Matsch","11",NA,"5","3","3","115","08:40 AM","10:35 AM","0","NA",NA,"individual","corporation","Male",NA,"1","2","settlement","6",NA,NA,NA,NA,"one or more days had unresolvable times — verify manually","Judge Richard P. Matsch",NA,NA,NA,"08/04/2014","08/11/2014","Judge Richard P. Matsch","settlement",NA
