"case_id","Pl_type_verdict","Pl_type_judgement","Pl_type_minutes","Def_type_verdict","Def_type_judgement","Def_type_minutes","Pl_gender_verdict","Pl_gender_judgement","Pl_gender_minutes","Def_gender_verdict","Def_gender_judgement","Def_gender_minutes","Number_pl_verdict","Number_pl_judgement","Number_pl_minutes","Number_def_verdict","Number_def_judgement","Number_def_minutes","Trial_start_minutes","Trial_start_docket","verdict_date_verdict","Verdict_date_minutes","Verdict_date_docket","NumberofDaysinTrial","Multiple_trials_note","Judge_initial_assignment_docket_header","Judge_initial_assignment_docket_entry","Magistrate_assignment_docket_header","Magistrate_assignment_docket_entry","Judge_jury_trial_minutes","Judge_jury_trial_docket","SeatedJurySize_beg","SeatedJurySize_end","JuryPoolSize","Excused_by_court","Plaintiff_challenges","Defendant_challenges","Voir_dire_time","Voir_dire_start","Voir_dire_end","Voir_dire_recess_length","Voir_dire_recess_times","VD_extras","Deliberation_time","Deliberation_time_flag","Non_economic_damages_requested","Punitive_damages_requested","Monetary_award","Outcome_verdict","Outcome_judgement","Outcome_minutes","Outcome_docket","Verdict_note","Non_economic_damages_awarded","Punitive_damages_awarded","Percent_plaintiff_liable"
1000309,"individual","individual","individual","corporation","corporation","corporation","Female","Female","Female",NA,NA,NA,1,1,1,1,1,1,"03/26/2012","03/26/2012","04/05/2012","04/05/2012","04/05/2012",9,NA,"Magistrate Judge Craig B. Shaffer","Judge Philip A. Brimmer","Magistrate Judge Boyd N. Boland","Magistrate Judge Boyd N. Boland","Magistrate Judge Craig B. Shaffer","Magistrate Judge Craig B. Shaffer",8,8,NA,3,3,3,160,"09:23 AM","11:55 AM",18,"11:00 AM to 11:09 AM, 11:52 AM to 11:55 AM","At 9:23 AM (voir dire start): Jury panel present; Introduction of the court, counsel and parties, and courtroom personnel; Court's preliminary statements to the jury panel; Jurors sworn for voir dire; Fourteen jurors called to the jury box — all occurred before voir dire by the Court began. At 11:55 AM (voir dire end): Eight selected jurors addressed by court — occurred after challenges were resolved.",212,NA,"YES","NO",0,"defendant","defendant","defendant","defendant",NA,0,0,NA
1002201,"individual","individual",NA,"federal agency","federal agency",NA,"Male","Male",NA,NA,NA,NA,1,1,NA,1,1,NA,"07/30/2018","07/30/2018","08/08/2018",NA,"08/08/2018",NA,NA,"Senior Judge Christine M. Arguello","Judge Lewis T. Babcock","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Kathleen M. Tafoya","Chief Judge Marcia S. Krieger","Judge Christine M. Arguello",NA,9,NA,NA,NA,NA,106,"09:51 AM","11:37 AM",0,NA,"Jurors sworn for voir dire occurred between the 9:51 AM timestamp and the start of voir dire by the Court",NA,NA,"NO","NO",0,"defendant","defendant",NA,"defendant",NA,NA,0,NA
1002529,"individual","individual","individual","city","city","city","Male","Male","Male",NA,NA,NA,1,1,1,1,1,1,"10/22/2012","10/22/2012","10/25/2012","10/25/2012","10/25/2012",4,NA,"Judge William J. Martinez","Judge Marcia S. Krieger","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Kathleen M. Tafoya","Judge William J. Martínez","Judge William J. Martinez",8,8,NA,2,3,3,42,"08:52 AM","10:50 AM",16,"10:24 AM to 10:40 AM","At 10:40 Court in Session with jury panel present; at 10:41 Bench conference; at 10:46 Voir dire concluded — challenges listed before jury sworn at 10:50",NA,"one or more days had unresolvable times — verify manually","NO","NO",0,"defendant","defendant","plaintiff","defendant",NA,0,0,NA
1002912,"corporation","corporation","corporation","individual, corporation","individual, corporation","individual, corporation",NA,NA,NA,NA,"Male","Male",2,2,2,2,2,2,"06/24/2013","06/24/2013","07/10/2013","07/10/2013","07/10/2013",11,NA,"Judge R. Brooke Jackson","Judge Christine M. Arguello","Magistrate Judge Kathleen M. Tafoya","Magistrate Judge Kathleen M. Tafoya","Judge R. Brooke Jackson","Judge R. Brooke Jackson",7,7,40,2,3,3,146,"09:50 AM","12:23 PM",13,"10:48 AM to 11:01 AM","At the voir dire start timestamp (9:50 AM), voir dire begins directly. At the voir dire end timestamp (12:23 PM), the court goes into recess after jurors are sworn.",NA,"one or more days had unresolvable times — verify manually","NO","NO",0,"defendant","defendant","plaintiff","defendant",NA,NA,0,NA
1077,"federal government, individual","federal government, individual","government, individual","corporation","corporation","corporation","Male","Male","Male",NA,NA,NA,2,2,2,4,4,4,"03/09/2009","03/09/2009","03/18/2009","03/18/2009","03/18/2009",7,"Two trial sequences: first trial April 28-May 1, 2008 (Days 1-4) on original source jurisdiction/meat certificates issue, which concluded with a jury verdict on 5/1/2008; second trial March 9-18, 2009 (Days 1-7) on hide export certificate claims, which concluded with a verdict on 3/18/2009. The second trial is the final completed trial resulting in the operative judgment. Researcher should verify which trial sequence constitutes the 'final' trial for purposes of outcome determination.","Judge John L. Kane","Judge John L. Kane","Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","Senior Judge John L. Kane","Judge John L. Kane",12,12,NA,4,3,3,88,"10:26 AM","12:03 PM",9,"11:47 AM to 11:56 AM",NA,421,NA,"NO","NO",NA,"plaintiff","plaintiff","plaintiff","plaintiff","False Claims Act hides trial; jury found 5 certificates with major/significant changes knowingly made without replacement certificate; 0 certificates found changed with intent to conceal. Damages not determined by this verdict form.",NA,NA,NA
1077,"federal government, individual","federal government, individual","government, individual","corporation","corporation","corporation","Male","Male","Male",NA,NA,NA,2,2,2,4,4,4,"03/09/2009","03/09/2009","03/18/2009","03/18/2009","03/18/2009",7,"Two trial sequences: first trial April 28-May 1, 2008 (Days 1-4) on original source jurisdiction/meat certificates issue, which concluded with a jury verdict on 5/1/2008; second trial March 9-18, 2009 (Days 1-7) on hide export certificate claims, which concluded with a verdict on 3/18/2009. The second trial is the final completed trial resulting in the operative judgment. Researcher should verify which trial sequence constitutes the 'final' trial for purposes of outcome determination.","Judge John L. Kane","Judge John L. Kane","Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","Senior Judge John L. Kane","Judge John L. Kane",12,NA,NA,4,3,3,88,"10:26 AM","12:03 PM",9,"11:47 AM to 11:56 AM",NA,421,NA,"NO","NO",NA,"plaintiff","defendant","plaintiff","plaintiff","False Claims Act hides trial; jury found 5 certificates with major/significant changes knowingly made without replacement certificate; 0 certificates found changed with intent to conceal. Damages not determined by this verdict form.",NA,NA,NA
1077,"federal government, individual","federal government, individual","government, individual","corporation","corporation","corporation","Male","Male","Male",NA,NA,NA,2,2,2,4,4,4,"03/09/2009","03/09/2009","03/18/2009","03/18/2009","03/18/2009",7,"Two trial sequences: first trial April 28-May 1, 2008 (Days 1-4) on original source jurisdiction/meat certificates issue, which concluded with a jury verdict on 5/1/2008; second trial March 9-18, 2009 (Days 1-7) on hide export certificate claims, which concluded with a verdict on 3/18/2009. The second trial is the final completed trial resulting in the operative judgment. Researcher should verify which trial sequence constitutes the 'final' trial for purposes of outcome determination.","Judge John L. Kane","Judge John L. Kane","Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","Senior Judge John L. Kane","Judge John L. Kane",12,NA,NA,4,3,3,88,"10:26 AM","12:03 PM",9,"11:47 AM to 11:56 AM",NA,421,NA,"NO","NO",NA,"plaintiff","defendant","plaintiff","plaintiff","False Claims Act hides trial; jury found 5 certificates with major/significant changes knowingly made without replacement certificate; 0 certificates found changed with intent to conceal. Damages not determined by this verdict form.",NA,NA,NA
1077,"federal government, individual","federal government, individual","government, individual","corporation","corporation","corporation","Male","Male","Male",NA,NA,NA,2,2,2,4,4,4,"03/09/2009","03/09/2009","03/18/2009","03/18/2009","03/18/2009",7,"Two trial sequences: first trial April 28-May 1, 2008 (Days 1-4) on original source jurisdiction/meat certificates issue, which concluded with a jury verdict on 5/1/2008; second trial March 9-18, 2009 (Days 1-7) on hide export certificate claims, which concluded with a verdict on 3/18/2009. The second trial is the final completed trial resulting in the operative judgment. Researcher should verify which trial sequence constitutes the 'final' trial for purposes of outcome determination.","Judge John L. Kane","Judge John L. Kane","Magistrate Judge Kristen L. Mix","Magistrate Judge Kristen L. Mix","Senior Judge John L. Kane","Judge John L. Kane",12,12,NA,4,3,3,88,"10:26 AM","12:03 PM",9,"11:47 AM to 11:56 AM",NA,421,NA,"NO","NO",NA,"plaintiff","plaintiff","plaintiff","plaintiff","False Claims Act hides trial; jury found 5 certificates with major/significant changes knowingly made without replacement certificate; 0 certificates found changed with intent to conceal. Damages not determined by this verdict form.",NA,NA,NA
1100303,"corporation, individual","corporation, individual","corporation, individual","county","county","county","Mixed","Mixed","Male",NA,NA,NA,5,5,5,1,2,1,"12/18/2012","12/18/2012","12/21/2012","12/21/2012","12/21/2012",4,NA,"Judge R. Brooke Jackson","Judge Philip A. Brimmer","Magistrate Judge Michael E. Hegarty","Magistrate Judge Michael E. Hegarty","Judge R. Brooke Jackson","Judge R. Brooke Jackson",7,7,23,2,3,3,90,"9:46 AM","12:21 PM",65,"10:07 AM to 11:12 AM","Court instructs the jury occurred between jurors being sworn and the 12:21 PM recess timestamp",137,NA,"NO","NO",400004,"plaintiff","plaintiff","plaintiff","plaintiff",NA,NA,0,NA
1100767,"individual",NA,"individual","individual",NA,"corporation","Male",NA,"Male","Male",NA,NA,1,NA,1,2,NA,2,"08/04/2014","08/04/2014","09/27/2017",NA,"08/11/2014",6,NA,"Judge Richard P. Matsch",NA,NA,NA,"Senior District Judge Richard P. Matsch","Judge Richard P. Matsch",11,NA,NA,5,3,3,115,"08:40 AM","10:35 AM",0,NA,NA,NA,"one or more days had unresolvable times — verify manually","NO","YES",0,"defendant",NA,"settlement","settlement",NA,NA,0,NA
