"case_id","Pl_type_verdict","Pl_type_judgement","Pl_type_minutes","Def_type_verdict","Def_type_judgement","Def_type_minutes","Pl_gender_verdict","Pl_gender_judgement","Def_gender_verdict","Def_gender_judgement","Number_pl_verdict","Number_pl_judgement","Number_def_verdict","Number_def_judgement","Trial_start_minutes","Trial_start_docket","Verdict_date_minutes","Verdict_date_docket","NumberofDaysinTrial","NumberofDaysinTrial_docket","Multiple_trials_note","Judge_initial_assignment","Magistrate_assignment","Judge_jury_trial_minutes","Judge_jury_trial_docket","SeatedJurySize_beg","SeatedJurySize_end","JuryPoolSize","Excused_by_court","Plaintiff_challenges","Defendant_challenges","Voir_dire_start","Voir_dire_end","Voir_dire_recess_times","Voir_dire_recess_length","Voir_dire_time","VD_extras","Deliberation_time","Deliberation_time_flag","Deliberation_days","Delib_schedule","Non_economic_damages_requested","Punitive_damages_requested","Monetary_award","Outcome_verdict","Outcome_judgement","Outcome_docket","Verdict_note","Non_economic_damages_awarded","Punitive_damages_awarded","Percent_plaintiff_liable","Damages_itemized","Damages_sum_check"
"1000309","individual","individual","individual","corporation","corporation","corporation","Female","Female",NA,NA,"1","1","1","1","03/26/2012","03/26/2012","04/05/2012","04/05/2012","9","9",NA,NA,NA,"Magistrate Judge Craig B. Shaffer","Magistrate Judge Craig B. Shaffer","8","8",NA,"3","3","3","09:23 AM","01:49 PM","11:00 AM to 11:09 AM; 11:52 AM to 11:55 AM; 12:15 PM to 01:11 PM",68,198,"At 1:11 p.m. court in session, jury not present, stipulated exhibits admitted (Plaintiff's Exhibits 101 and 308; Defendant's Exhibits P2, Y2, Z2, C3, E3, Goodwin Q, and F3), jury then present, eight jurors sworn to try the case, and court's preliminary instructions given before opening statement by Mr. Metier at 1:49 p.m.",212,NA,1,"Day 1: 9:31 AM to 1:03 PM, 212 min","YES","NO",0,"defendant","defendant","defendant","Document contains two verdict forms (Form A and Form B). Form A was completed by the jury; Form B was left blank. On Form A, the jury answered Yes to plaintiff having injuries but No to defendant engaging in reckless conduct, resulting in a verdict for the defendant. Damage questions were not reached.",NA,NA,NA,"[{""question"":""Form B — Q1: Did plaintiff have injuries?"",""amount"":{},""recipient"":""plaintiff"",""type"":{}},{""question"":""Form B — Q6a: Total noneconomic damages excluding physical impairment"",""amount"":{},""recipient"":""plaintiff"",""type"":""noneconomic""},{""question"":""Form B — Q6b: Total economic damages excluding physical impairment"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Form B — Q6c: Total damages for physical impairment"",""amount"":{},""recipient"":""plaintiff"",""type"":""noneconomic""}]","verify — one or more line items had no amount"
"1002201","individual","individual",NA,"federal agency","federal agency",NA,"Male","Male",NA,NA,"1","1","1","1","07/30/2018","07/30/2018",NA,"08/08/2018",NA,"8",NA,NA,NA,"Chief Judge Marcia S. Krieger","Judge Christine M. Arguello",NA,"9",NA,NA,NA,NA,"09:51 AM","11:37 AM",NA,0,106,"Jurors sworn for voir dire; Voir dire by the Court; Counsel exercise their challenges; Jurors sworn to try the case — all occurring between 9:51 AM and the 11:37 AM recess timestamp",NA,NA,NA,NA,"NO","NO",0,"defendant","defendant","defendant","Jury found for defendant on both claims: Q1 (retaliation based on emergency placement) answered No, Q2 (retaliation based on constructive discharge) answered No. Questions 3-5 were skipped per instructions.",NA,NA,NA,"[{""question"":""Q3 — Compensatory damages resulting from Postal Service's retaliatory acts"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q5 — Amount to reduce compensatory damages if plaintiff failed to mitigate"",""amount"":{},""recipient"":""defendant"",""type"":""economic""}]","verify — one or more line items had no amount"
"1002529","individual","individual","individual","city","city","city","Male","Male",NA,NA,"1","1","1","1","10/22/2012","10/22/2012","10/25/2012","10/25/2012","4","4",NA,NA,NA,"Judge William J. Martínez","Judge William J. Martinez","8","8",NA,"2","3","3","08:52 AM","10:50 AM","10:24 AM to 10:40 AM",16,102,"At 08:42 jury panel present; at 08:51 jury panel sworn voir dire. At 10:41 bench conference occurred before voir dire concluded at 10:46. After voir dire concluded, challenges for cause and peremptory challenges were recorded before jury was sworn at 10:50.",158,NA,1,"Day 1: 1:00 PM to 3:38 PM, 158 min","NO","NO",0,"defendant","defendant","defendant","Jury answered No to Question 1 (hostile work environment based on race/national origin), ending deliberations in favor of defendant. Question 3 (damages) was not reached.",NA,NA,NA,"[{""question"":""Amount of damages caused by the hostile work environment"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""}]","verify — one or more line items had no amount"
"1002912","corporation","corporation","corporation","individual, corporation","individual, corporation","individual, corporation",NA,NA,"Male","Male","2","2","2","2","06/24/2013","06/24/2013","07/10/2013","07/10/2013","11","11",NA,NA,NA,"Judge R. Brooke Jackson","Judge R. Brooke Jackson","7","7","40","2","3","3","09:50 AM","12:23 PM","10:48 AM to 11:01 AM",13,140,NA,236,NA,1,"Day 1: 11:33 AM to 3:29 PM, 236 min","NO","NO",0,"defendant","defendant","defendant","Jury found for defendants on all claims: tying per se, tying under rule of reason, monopolization, and attempted monopolization. Answers to Q1 and Q2 (antitrust market definitions) were both 'no', directing skip to Q11. Q11 (monopoly power), Q12 (willful acquisition), Q13 (injury from monopolization), Q14 (monopolization verdict), Q15 (anticompetitive conduct), Q16 (specific intent), Q17 (dangerous probability), Q18 (injury from attempted monopolization), and Q19 (attempted monopolization verdict) were all answered 'no'. Damages awarded to both plaintiffs were $0. Defendants' affirmative defenses Q20 and Q21 were answered 'yes'.",NA,NA,NA,"[{""question"":""Q22 - The Church's actual damages from illegal tying, monopolization, and attempted monopolization"",""amount"":0,""recipient"":""defendant"",""type"":""economic""},{""question"":""Q23 - Vinyl's actual damages from illegal tying, monopolization, and attempted monopolization"",""amount"":0,""recipient"":""defendant"",""type"":""economic""},{""question"":""Q24 - Amount by which The Church could have reduced damages by acting in commercially reasonable manner (mitigation)"",""amount"":0,""recipient"":""defendant"",""type"":""economic""},{""question"":""Q25 - Amount by which Vinyl could have reduced damages by acting in commercially reasonable manner (mitigation)"",""amount"":0,""recipient"":""defendant"",""type"":""economic""}]","ok"
"1077","federal government, individual","federal government, individual","government, individual","corporation","corporation","corporation","Male","Male",NA,NA,"2","2","4","4","03/09/2009","03/09/2009","03/18/2009","03/18/2009","7","7","Two trial sequences: first trial April 28-May 1, 2008 (4 days) on original source jurisdiction/meat certificates issue, ended with jury verdict; second trial March 9-18, 2009 (7 days) on hide export certificates claims, ended with jury verdict. The second trial (March 2009) is identified as the final completed trial sequence for purposes of Trial_start_docket and Verdict_date_docket. Final trial: 7 days; first trial: 4 days.",NA,NA,"Senior Judge John L. Kane","Judge John L. Kane","12","12",NA,"4","3","3","10:26 AM","12:03 PM","11:47 AM to 11:56 AM",9,88,NA,950,NA,3,"Day 1: 2:54 PM to 4:50 PM, 116 min; Day 2: 4:50 PM to 4:56 PM, 6 min; Day 3: 9:00 AM to 3:54 PM, 414 min; Day 4: 9:00 AM to 3:54 PM, 414 min","NO","NO",NA,"plaintiff","plaintiff","plaintiff","Special verdict form for March 2009 Hides Trial. Jury found defendants made major or significant changes to hide export certificates (Q1: YES), found 5 certificates with major/significant changes and no replacement certificate obtained (Q2: 5), found 5 certificates were changed knowingly (Q3: 5), but found 0 certificates were changed with intent to conceal/avoid/decrease obligation (Q4: 0). No monetary damages were awarded on this form; this appears to be a liability-focused special verdict.",NA,NA,NA,NA,"no itemized damages"
"1100303","corporation, individual","corporation, individual","corporation, individual","county","county","county","Male","Mixed",NA,NA,"5","5","1","2","12/18/2012","12/18/2012","12/21/2012","12/21/2012","4","4",NA,NA,NA,"Judge R. Brooke Jackson","Judge R. Brooke Jackson","7","7","23","2","3","3","09:46 AM","12:21 PM","10:07 AM to 11:12 AM",65,90,"Before voir dire started at 9:46 AM, the following occurred: jury panel was brought to court (23 potential jurors), preliminary remarks by the Court, court staff/attorneys/parties/witnesses introduced, jury panel sworn for voir dire, Court seated thirteen potential jurors, and preliminary instructions by the Court. After the jury was sworn to try the case, the Court instructed the jury before the 12:21 PM recess.",137,NA,1,"Day 1: 9:41 AM to 11:58 AM, 137 min","NO","NO",400004,"plaintiff","plaintiff","plaintiff","Jury found discrimination (Q1 Yes) and retaliation for St. Paul Sober Living LLC (Q2a Yes) but not for Chris Edrington or Donald Edrington (Q2b, Q2c No). Damages awarded to St. Paul Sober Living LLC ($400,000); nominal damages of $1.00 each awarded to Chris Edrington, Donald Edrington, Adam Tipton, and Alex Colins as discriminatory conduct did not proximately cause money damages to them.",NA,NA,NA,"[{""question"":""Q4a — Money damages proximately caused by discrimination: St. Paul Sober Living, LLC"",""amount"":400000,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q4b — Money damages proximately caused by discrimination: Chris Edrington"",""amount"":1,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q4c — Money damages proximately caused by discrimination: Donald Edrington"",""amount"":1,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q4d — Money damages proximately caused by discrimination: Adam Tipton"",""amount"":1,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q4e — Money damages proximately caused by discrimination: Alex Colins"",""amount"":1,""recipient"":""plaintiff"",""type"":""economic""}]","ok"
"1100767","individual",NA,"individual","individual",NA,"corporation","Male",NA,"Male",NA,"1",NA,"2",NA,"08/04/2014","08/04/2014",NA,"08/11/2014","6","6",NA,NA,NA,"Senior District Judge Richard P. Matsch","Judge Richard P. Matsch","11",NA,NA,"5","3","3","08:40 AM","11:21 AM","10:45 AM to 11:15 AM",30,131,"At 8:31 a.m. all jurors sworn for voir dire and eighteen jurors called to the jury box occurred before the 8:40 a.m. voir dire start. At 11:15 a.m. court in session, jurors present, and 11 jurors sworn to try the case and court instructs jurors occurred before the 11:21 a.m. plaintiff's opening statement timestamp used as voir dire end.",NA,"one or more days had unresolvable times — verify manually",1,NA,"NO","YES",0,"defendant",NA,"settlement","Jury found in favor of both defendants on all questions: no unlawful arrest (Q1), no excessive force (Q2), no willful and wanton negligence (Q3), no outrageous conduct by Donnellon (Q4). The defendant certification section was signed for both Michael Donnellon and Aaron Sandoval.",NA,NA,NA,"[{""question"":""Question Five — Actual damages awarded to Mr. Forbes"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Question Six — Punitive damages awarded to Mr. Forbes"",""amount"":{},""recipient"":""plaintiff"",""type"":""punitive""}]","verify — one or more line items had no amount"
"1100874","individual","individual",NA,"corporation","corporation",NA,"Male","Male",NA,NA,"1","1","1","1",NA,"07/30/2012",NA,"08/03/2012",NA,"5",NA,NA,NA,NA,"Judge Christine M. Arguello",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","NO",0,"defendant","defendant","defendant","Jury found no national origin discrimination (Q1: No) and no retaliation (Q3: No). Plaintiff was found to be at-will employee (Q4a: Yes); implied contract and handbook policy claims also found for defendant. Defendant would have terminated plaintiff for unauthorized tape recording (Q6: Yes). No damages awarded.",NA,NA,NA,"[{""question"":""Q7 — Back pay (lost wages) if national origin discrimination or retaliation found"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q8 — Actual damages if implied contract breach found (Q4b and Q5 yes)"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q9 — Actual damages if handbook policy claim found (Q4c yes, Q4b no)"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""}]","verify — one or more line items had no amount"
"1101765","individual, corporation","individual, corporation","individual, corporation","corporation","corporation","corporation","Male","Male",NA,NA,"2","2","1","1","08/04/2014","08/04/2014","08/12/2014","08/12/2014","7","7",NA,NA,NA,"Judge Robert E. Blackburn","Judge Robert E. Blackburn","9","9",NA,"1","3","3","09:36 AM","11:42 AM","10:24 AM to 10:37 AM",13,113,"At 9:10 AM when court came into session, jury panel was present with 15 jurors seated in the jury box. At 9:12 AM civil voir dire oath was given to jury panel. Opening statements by the court followed, then counsel introductions at 9:15-9:17 AM and further statements by the court before voir dire commenced at 9:36 AM. After jury sworn at 11:35 AM, courtroom deputy clerk distributed Juror Code of Conduct to jurors and parties and court reviewed same with the jury before jury was excused at 11:42 AM.",183,NA,2,"Day 1: 5:24 PM to 5:24 PM, 0 min; Day 2: 8:30 AM to 11:33 AM, 183 min","NO","NO",0,"defendant","defendant","defendant","Jury found no infringement for Alpena LEDLitz and Alpena MOTION; found infringement for Alpena Head 'N' Grill but found patent invalid due to anticipation, resulting in no damages awarded to plaintiff. Question 4 (damages) was not answered because jury answered Yes to Question 3 (invalidity).",NA,NA,NA,"[{""question"":""Q4 — Damages for infringement of the '780 Patent"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""}]","verify — one or more line items had no amount"
"1101934","individual","individual","individual","corporation","corporation","corporation","Male","Male",NA,NA,"1","1","1","1","08/13/2012","08/13/2012","08/16/2012","08/16/2012","4","4",NA,NA,NA,"Circuit Judge David M. Ebel","Judge David M. Ebel","7","7",NA,"2","3","3","09:11 AM","10:55 AM",NA,0,104,"At 9:11 AM, prior to voir dire beginning, the jury panel was brought in, preliminary instructions were given to the jury panel, and the panel was sworn for voir dire. At 10:55 AM, the jury was sworn immediately after the conclusion of voir dire and peremptory challenges.",241,NA,1,"Day 1: 10:33 AM to 2:34 PM, 241 min","NO","NO",325000,"plaintiff","plaintiff","plaintiff",NA,NA,NA,NA,"[{""question"":""Damages awarded against Defendant American Family Insurance"",""amount"":325000,""recipient"":""plaintiff"",""type"":""economic""}]","ok"
