"case_id","Pl_type_verdict","Pl_type_judgement","Pl_type_minutes","Def_type_verdict","Def_type_judgement","Def_type_minutes","Pl_gender_verdict","Pl_gender_judgement","Def_gender_verdict","Def_gender_judgement","Number_pl_verdict","Number_pl_judgement","Number_def_verdict","Number_def_judgement","Trial_start_minutes","Trial_start_docket","Verdict_date_minutes","Verdict_date_docket","NumberofDaysinTrial","NumberofDaysinTrial_docket","Multiple_trials_note","Judge_initial_assignment","Magistrate_assignment","Judge_jury_trial_minutes","Judge_jury_trial_docket","SeatedJurySize_beg","SeatedJurySize_end","JuryPoolSize","Excused_by_court","Plaintiff_challenges","Defendant_challenges","Voir_dire_start","Voir_dire_end","Voir_dire_recess_times","Voir_dire_recess_length","Voir_dire_time","VD_extras","Deliberation_time","Deliberation_time_flag","Deliberation_days","Delib_schedule","Non_economic_damages_requested","Punitive_damages_requested","Monetary_award","Damages_itemized","Damages_sum_check","Outcome_verdict","Outcome_judgement","Outcome_docket","Verdict_note","Non_economic_damages_awarded","Punitive_damages_awarded","Percent_plaintiff_liable"
"1000309","individual","individual","individual","corporation","corporation","corporation","Female","Female",NA,NA,"1","1","1","1","03/26/2012","03/26/2012","04/05/2012","04/05/2012","9","9",NA,"Judge Philip A. Brimmer","Magistrate Judge Boyd N. Boland","Magistrate Judge Craig B. Shaffer","Magistrate Judge Craig B. Shaffer","8","8",NA,"3","3","3","09:23 AM","11:55 AM","11:00 AM to 11:09 AM; 11:52 AM to 11:55 AM",12,140,"At 9:23 AM when court resumed and jury panel was present, introduction of the court, counsel and parties, and courtroom personnel occurred, followed by court's preliminary statements to the jury panel and jurors sworn for voir dire, before voir dire formally began. At 11:55 AM when court resumed, eight selected jurors were addressed by court before the jury was ultimately sworn to try the case (which occurred after the 12:15 PM recess and 1:11 PM session).",212,NA,1,"Day 1: 9:31 AM to 1:03 PM, 212 min","YES","NO",0,"[{""question"":""Form B — Q1: Did plaintiff have injuries?"",""amount"":{},""recipient"":""plaintiff"",""type"":{}},{""question"":""Form B — Q2: Did defendant engage in reckless conduct?"",""amount"":{},""recipient"":""plaintiff"",""type"":{}},{""question"":""Form B — Q3: Was reckless conduct a cause of injuries?"",""amount"":{},""recipient"":""plaintiff"",""type"":{}},{""question"":""Form B — Q6a: Noneconomic damages excluding physical impairment"",""amount"":{},""recipient"":""plaintiff"",""type"":""noneconomic""},{""question"":""Form B — Q6b: Economic damages excluding physical impairment"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Form B — Q6c: Physical impairment damages"",""amount"":{},""recipient"":""plaintiff"",""type"":""noneconomic""}]","verify — one or more line items had no amount","defendant","defendant","defendant","Document contains two verdict forms (Form A and Form B). Form A was completed by the jury; Form B was left blank. On Form A, the jury found the plaintiff had injuries (Yes) but found the defendant did not engage in reckless conduct (No), resulting in a verdict for the defendant. Damage questions were not reached.",NA,NA,NA
"1002201","individual","individual",NA,"federal agency","federal agency",NA,"Male","Male",NA,NA,"1","1","1","1","07/30/2018","07/30/2018",NA,"08/08/2018",NA,"8",NA,"Judge Lewis T. Babcock","Magistrate Judge Kathleen M. Tafoya","Chief Judge Marcia S. Krieger","Judge Christine M. Arguello",NA,"9",NA,NA,NA,NA,"09:51 AM","11:37 AM",NA,0,106,"Jurors sworn for voir dire; Voir dire by the Court; Counsel exercise their challenges; Jurors sworn to try the case",NA,NA,NA,NA,"NO","NO",0,"[{""question"":""Q3 — Compensatory damages for retaliatory acts"",""amount"":0,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q5 — Reduction of compensatory damages for failure to mitigate"",""amount"":0,""recipient"":""defendant"",""type"":""economic""}]","ok","defendant","defendant","defendant","Jury found for defendant on both claims (Q1: No on retaliation based on emergency placement; Q2: No on retaliation based on constructive discharge). Questions 3-5 were skipped per instructions.",NA,NA,NA
"1002529","individual","individual","individual","city","city","city","Male","Male",NA,NA,"1","1","1","1","10/22/2012","10/22/2012","10/25/2012","10/25/2012","4","4",NA,"Judge Marcia S. Krieger","Magistrate Judge Kathleen M. Tafoya","Judge William J. Martínez","Judge William J. Martinez","8","8",NA,"2","3","3","08:52 AM","10:50 AM","10:24 AM to 10:40 AM",16,102,"At 08:42 jury panel present; at 08:51 jury panel sworn for voir dire. At 10:41 bench conference occurred before voir dire concluded at 10:46. Challenges for cause and peremptory challenges listed before jury sworn at 10:50.",158,NA,1,"Day 1: 1:00 PM to 3:38 PM, 158 min","NO","NO",0,"[{""question"":""Amount of damages caused by the hostile work environment"",""amount"":0,""recipient"":""defendant"",""type"":""economic""}]","ok","defendant","defendant","defendant","Jury found for defendant on Question 1 — plaintiff did not prove hostile work environment based on race and/or national origin; form stopped at Question 1 and Questions 2 and 3 were not reached.",NA,NA,NA
"1002912","corporation","corporation","corporation","individual, corporation","individual, corporation","individual, corporation",NA,NA,"Male","Male","2","2","2","2","06/24/2013","06/24/2013","07/10/2013","07/10/2013","11","11",NA,"Judge Christine M. Arguello","Magistrate Judge Kathleen M. Tafoya","Judge R. Brooke Jackson","Judge R. Brooke Jackson","7","7","40","2","3","3","09:50 AM","12:23 PM","10:48 AM to 11:01 AM",13,140,NA,236,NA,1,"Day 1: 11:33 AM to 3:29 PM, 236 min","NO","NO",0,"[{""question"":""Q22 — The Church's actual damages from illegal tying, monopolization, and attempted monopolization"",""amount"":0,""recipient"":""defendant"",""type"":""economic""},{""question"":""Q23 — Vinyl's actual damages from illegal tying, monopolization, and attempted monopolization"",""amount"":0,""recipient"":""defendant"",""type"":""economic""},{""question"":""Q24 — Amount by which The Church could have reduced damages by acting in commercially reasonable manner (mitigation)"",""amount"":0,""recipient"":""defendant"",""type"":""economic""},{""question"":""Q25 — Amount by which Vinyl could have reduced damages by acting in commercially reasonable manner (mitigation)"",""amount"":0,""recipient"":""defendant"",""type"":""economic""}]","ok","defendant","defendant","defendant","Single verdict form covering all claims. Jury found for defendants on all antitrust claims (tying per se, tying under rule of reason, monopolization, attempted monopolization). Defendants prevailed on affirmative defenses (Questions 20 and 21 answered yes). Actual damages awarded to both plaintiffs were $0.",NA,NA,NA
"1077","federal government, individual","federal government, individual","federal government, individual","corporation","corporation","corporation","Male","Male",NA,NA,"2","2","4","4","03/09/2009","03/09/2009","03/18/2009","03/18/2009","7","7","Two trial sequences: first trial April 28-May 1, 2008 (4 days) on original source jurisdiction/meat certificates issue, ended with jury verdict; second (final) trial March 9-18, 2009 (7 days) on hide export certificate claims, ended with jury verdict and judgment entered in favor of Relator on 5 of 1000+ claims. The final judgment on remand ultimately favored defendants on hide claims, but the trial verdict itself awarded plaintiff $27,822.50.","Judge Kane","Magistrate Judge Patricia A. Coan","Senior Judge John L. Kane","Judge John L. Kane","12","12",NA,"4","3","3","10:26 AM","12:03 PM","11:47 AM to 11:56 AM",9,88,"At 10:26 a.m., before voir dire begins, the jury panel had already been brought to the courtroom at 9:09 a.m., panel sworn for voir dire, members called to jury seats, preliminary instructions given by the Court, introduction of counsel/staff/parties/witnesses, and further preliminary instructions regarding trial schedule.",420,NA,3,"Day 1: 2:55 PM to 2:55 PM, 0 min; Day 2: 4:50 PM to 4:56 PM, 6 min; Day 3: 9:00 AM to 3:54 PM, 414 min","NO","NO",NA,NA,"no itemized damages","plaintiff","plaintiff","plaintiff","Special verdict form for False Claims Act (hides trial). Jury found defendants made major/significant changes to 5 hide export certificates with no replacement certificate obtained, and that 5 were changed knowingly. Found 0 certificates were changed with intent to conceal/avoid/decrease obligation. No monetary damages requested on this form — this appears to be a liability-only determination.",NA,NA,NA
"1100303","corporation, individual","corporation, individual","corporation, individual","county","county","county","Male","Mixed",NA,NA,"5","5","1","2","12/18/2012","12/18/2012","12/21/2012","12/21/2012","4","4",NA,"Judge Philip A. Brimmer","Magistrate Judge Michael E. Hegarty","Judge R. Brooke Jackson","Judge R. Brooke Jackson","7","7","23","2","3","3","09:46 AM","12:21 PM","10:07 AM to 11:12 AM",65,90,"Before voir dire end: Court instructs the jury. The swearing of seven jurors and peremptory/cause challenges occurred without individual timestamps prior to the 12:21 p.m. recess.",137,NA,1,"Day 1: 9:41 AM to 11:58 AM, 137 min","NO","NO",400004,"[{""question"":""Q4a — Money damages proximately caused by discrimination: St. Paul Sober Living, LLC"",""amount"":400000,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q4b — Money damages proximately caused by discrimination: Chris Edrington"",""amount"":1,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q4c — Money damages proximately caused by discrimination: Donald Edrington"",""amount"":1,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q4d — Money damages proximately caused by discrimination: Adam Tipton"",""amount"":1,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q4e — Money damages proximately caused by discrimination: Alex Colins"",""amount"":1,""recipient"":""plaintiff"",""type"":""economic""}]","ok","plaintiff","plaintiff","plaintiff","Jury found discrimination (Q1 Yes) and retaliation for St. Paul Sober Living LLC (Q2a Yes) but not for Chris Edrington or Donald Edrington (Q2b/c No). Damages awarded to St. Paul Sober Living LLC ($400,000); nominal damages of $1.00 each awarded to Chris Edrington, Donald Edrington, Adam Tipton, and Alex Colins as proximate cause of damages was not found for those plaintiffs.",NA,NA,NA
"1100767","individual",NA,"individual","individual",NA,"corporation","Male",NA,"Male",NA,"1",NA,"2",NA,"08/04/2014","08/04/2014",NA,"08/11/2014","6","6",NA,"Judge Richard P. Matsch",NA,"Senior District Judge Richard P. Matsch","Judge Richard P. Matsch","11",NA,NA,"5","3","3","08:40 AM","11:21 AM","10:45 AM to 11:15 AM",30,131,"At the 8:40 AM timestamp, eighteen jurors were called to the jury box before voir dire commenced. At the 11:15 AM timestamp, Court in session and Jurors present were noted before the 11 jurors were sworn to try the case.",NA,"one or more days had unresolvable times — verify manually",1,NA,"NO","YES",0,"[{""question"":""Question Five — Actual damages awarded to Mr. Forbes"",""amount"":0,""recipient"":""defendant"",""type"":""economic""},{""question"":""Question Six — Punitive damages awarded to Mr. Forbes"",""amount"":0,""recipient"":""defendant"",""type"":""punitive""}]","ok","defendant",NA,"settlement","Jury found in favor of both defendants on all questions: no unlawful arrest (Q1), no excessive force (Q2), no willful and wanton negligence (Q3), no outrageous conduct by Donnellon (Q4). Verdict certified in favor of Deputy Michael Donnellon and Deputy Aaron Sandoval.",NA,NA,NA
"1100874","individual","individual",NA,"corporation","corporation",NA,"Male","Male",NA,NA,"1","1","1","1",NA,"07/30/2012",NA,"08/03/2012",NA,"5",NA,"Judge Walker D. Miller","Magistrate Judge Michael J. Watanabe",NA,"Judge Christine M. Arguello",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","NO",0,"[{""question"":""Q7 — Back pay (lost wages) for discrimination/retaliation claims"",""amount"":0,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q8 — Actual damages for implied contract breach (Q4b and Q5 yes)"",""amount"":0,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q9 — Actual damages for handbook policy claim (Q4c yes, Q4b no)"",""amount"":0,""recipient"":""plaintiff"",""type"":""economic""}]","ok","defendant","defendant","defendant","Jury found no national origin discrimination (Q1: No) and no retaliation (Q3: No). Found plaintiff was at-will employee (Q4a: Yes), no implied contract (Q4b: No), no handbook commitment (Q4c: No). Found defendant would have terminated plaintiff for unauthorized tape recording (Q6: Yes). No damages awarded.",NA,NA,NA
"1101765","individual, corporation","individual, corporation","individual, corporation","corporation","corporation","corporation","Male","Male",NA,NA,"2","2","1","1","08/04/2014","08/04/2014","08/12/2014","08/12/2014","7","7",NA,"Judge Robert E. Blackburn","Magistrate Judge Boyd N. Boland","Judge Robert E. Blackburn","Judge Robert E. Blackburn","9","9",NA,"1","3","3","09:36 AM","11:35 AM","10:24 AM to 10:37 AM",13,106,"At 9:10 a.m. court in session with jury panel present (15 jurors seated); at 9:12 a.m. civil voir dire oath given to jury panel; opening statements by the court; at 9:15 a.m. Mr. Bradford introduces himself, Mr. Clayden, the plaintiff, interpreter, and paralegal; at 9:16 a.m. Mr. Jablonski introduces himself, the company representative, paralegal, and witnesses; at 9:17 a.m. court introduces court staff; further statements by the court before voir dire commences at 9:36 a.m.",183,NA,2,"Day 1: 5:24 PM to 5:24 PM, 0 min; Day 2: 8:30 AM to 11:33 AM, 183 min","NO","NO",0,"[{""question"":""Q4 — Damages for infringement of the '780 Patent"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""}]","verify — one or more line items had no amount","defendant","defendant","defendant","Jury found infringement of the '780 Patent only as to the Alpena Head 'N' Grill product (Yes), but not the Alpena LEDLitz or Alpena MOTION. Defendant proved patent invalidity due to anticipation (Q3: Yes), so damages question (Q4) was not answered. No damages awarded to plaintiff.",NA,NA,NA
"1101934","individual","individual","individual","corporation","corporation","corporation","Male","Male",NA,NA,"1","1","1","1","08/13/2012","08/13/2012","08/16/2012","08/16/2012","4","4",NA,"Judge David M. Ebel","Magistrate Judge Boyd N. Boland","Circuit Judge David M. Ebel","Judge David M. Ebel","7","7",NA,"2","3","3","09:11 AM","10:55 AM",NA,0,104,"At 9:11 AM court came in session with jury panel present, preliminary instruction to the jury panel given, and panel sworn for voir dire — all occurring at or under the same timestamp before voir dire questioning began.",241,NA,1,"Day 1: 10:33 AM to 2:34 PM, 241 min","NO","NO",325000,"[{""question"":""Damages awarded against Defendant American Family Insurance"",""amount"":325000,""recipient"":""plaintiff"",""type"":""null""}]","ok","plaintiff","plaintiff","plaintiff",NA,NA,NA,NA
