"case_id","Pl_type","Def_type","Pl_gender","Def_gender","Number_pl","Number_def","Outcome","Verdict_note","Non_economic_damages_requested","Punitive_damages_requested","Monetary_award","Non_economic_damages_awarded","Punitive_damages_awarded","Percent_plaintiff_liable","verdict_date","claude_notes","dai_field_name","dai_field_value","dai_amount","value_confidence","flag_for_review","Number_jurors","Trial_date","Judge","Jury_size","Jurors_brought","Excused_for_cause","Pl_peremptory","Def_peremptory","Voir_dire_minutes","Voir_Dire_Extras","Final_trial_day","Delib_start_time","Delib_end_time","notes","Deliberation_minutes","Deliberation_minutes_flag"
"1000309","individual","corporation","Female",NA,"1","1","defendant","Jury found plaintiff had injuries but defendant did not engage in reckless conduct; verdict for defendant on Special Verdict Form A","YES","NO","0","0","0",NA,"04/05/2012","Two special verdict forms were provided (A and B); only Form A was completed. Question 2 answered NO (no reckless conduct), ending the inquiry in favor of defendant. Damage questions and fault apportionment questions were not reached. Non-party James Michael Goodwin was identified on the form for potential fault apportionment but not reached.",NA,NA,NA,NA,NA,"8","03/26/2012","Magistrate Judge Craig B. Shaffer","8",NA,"3","3","3","160","Court's preliminary statements to the jury panel and jurors sworn for voir dire occurred between jury panel being present (9:23 a.m.) and fourteen jurors called to the jury box for voir dire. Eight selected jurors addressed by court (11:55 a.m.) occurred between end of challenges and jurors sworn to try the case (1:11 p.m. session).","9","9:31 a.m.","1:03 p.m.","Jury polled at plaintiff's request; all jurors confirmed verdict. Judgment entered in favor of Defendant. Plaintiff's Exhibit 953 admitted during pre-jury discussion. Jury verdict filed conventionally per General Order 2007-3.",212,NA
"1002201","individual","federal agency","Male",NA,"1","1","defendant","Jury answered No to both liability questions (Claim 1: Retaliation based on emergency placement; Claim 2: Retaliation based on constructive discharge), so remaining questions on damages were not answered.","NO","NO","0",NA,"0",NA,"08/08/2018","Defendant is Megan J. Brennan, Postmaster General, United States Postal Service. Both liability claims were decided in favor of the defendant. Questions 3-5 regarding compensatory damages and mitigation were left blank as instructed when both Q1 and Q2 are answered No.",NA,NA,NA,NA,NA,"9","07/30/2018","Chief Judge Marcia S. Krieger",NA,NA,NA,NA,NA,"106","Jurors sworn for voir dire occurred between the 9:51 a.m. timestamp and the start of voir dire by the Court; counsel exercised their challenges between voir dire by the Court and jurors sworn to try the case (end boundary at 11:37 a.m. recess)",NA,NA,NA,NA,NA,NA
"1002529","individual","city","Male",NA,"1","1","defendant","Jury answered No to Question 1 (hostile work environment based on race/national origin not proven), ending deliberations in favor of defendant","YES","NO","0","0","0",NA,"10/25/2012","Verdict form stopped at Question 1 with a No answer; Questions 2 and 3 were not reached. Question 3 asked for damages caused by hostile work environment but was never answered. Juror name redacted on signed form.",NA,NA,NA,NA,NA,"8","10/22/2012","Judge William J. Martínez","8",NA,"2","3","3","92","Bench conferences at 10:07 and 10:16; recess from 10:24 to 10:40; bench conference at 10:41","4","12:59","3:38","Two Rule 50 motions were denied: one on the general motion and one specifically on the affirmative defense. Trial duration recorded as three hours and 34 minutes. Jury verdict filed conventionally per General Order 2008-03.",NA,"one or more days had unresolvable times — verify manually"
"1002912","corporation","individual, corporation",NA,"Male","2","2","defendant","All antitrust claims decided in favor of defendants; jury answered 'no' to all liability questions (Q1, Q2, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19); damages awarded were $0 for both plaintiffs","NO","NO","0",NA,"0",NA,"07/10/2013","Special verdict form in antitrust case. Plaintiffs The Church and Vinyl brought claims for tying (per se and rule of reason), monopolization, and attempted monopolization against defendants Bradley Roulier and Beta nightclub. Jury found for defendants on all claims. Jury answered 'yes' to affirmative defenses Q20 and Q21 (failure to mitigate and rule of reason defense). Damages for both plaintiffs were $0. Answers to Q24 and Q25 on mitigation appear to show $0 as well. Juror names were redacted on the signature page.",NA,NA,NA,NA,NA,"7","06/24/2013","Judge R. Brooke Jackson","7","40","2","3","3","146",NA,"11","11:32","3:29 p.m.","Deliberation start time recorded as '11:32' without 'a.m.' designation. During deliberations at 2:23 p.m. the court convened without jury to discuss and agree on a written answer to a juror question. Exhibits and depositions returned to counsel; original Verdict Form filed conventionally per General Order 2007-03. Total court time recorded as 02:24.",NA,"one or more days had unresolvable times — verify manually"
"1077","federal government, individual","corporation",NA,NA,"2","4","plaintiff","liability only — jury found defendants made major or significant changes to 5 hide export certificates knowingly without replacement certificates; found 0 certificates changed with intent to conceal/avoid/decrease obligation","NO","NO","0",NA,"0",NA,"03/14/2009","This is a False Claims Act case (qui tam) involving hide export certificates. The verdict form addresses only liability questions about whether defendants knowingly altered certificates. No damages were determined by this jury. The date is approximately the 14th of March 2009 based on handwritten date. Question 4 found 0 certificates changed with concealment intent, which may limit damages exposure under the FCA.",NA,NA,NA,NA,NA,"12","03/09/2009","Senior Judge John L. Kane","12",NA,"4","3","3","88","Recess from 11:47 a.m. to 11:56 a.m. (9 minutes) occurred during voir dire window; peremptory challenges exercised after court reconvened at 11:56 a.m. before jury was called at 12:03 p.m.","7",NA,"3:54 p.m.","Jury resumed deliberations at 9:00 a.m. (deliberations started on a prior day). The Court questioned the jury about an unintentional 'question mark' on the Special Verdict Form; the Foreperson circled and initialed the item. Jury was polled, verdict received at 4:10 p.m., jury excused at 4:11 p.m. Time in court was only 8 minutes. Document is an amended courtroom minutes entry.",NA,"one or more days had unresolvable times — verify manually"
"1077","federal government, individual","corporation",NA,NA,"2","4","plaintiff","liability only — jury found defendants made major or significant changes to 5 hide export certificates knowingly without replacement certificates; found 0 certificates changed with intent to conceal/avoid/decrease obligation","NO","NO","0",NA,"0",NA,"03/14/2009","This is a False Claims Act case (qui tam) involving hide export certificates. The verdict form addresses only liability questions about whether defendants knowingly altered certificates. No damages were determined by this jury. The date is approximately the 14th of March 2009 based on handwritten date. Question 4 found 0 certificates changed with concealment intent, which may limit damages exposure under the FCA.",NA,NA,NA,NA,NA,"12","03/09/2009","Senior Judge John L. Kane","12",NA,"4","3","3","88","Recess from 11:47 a.m. to 11:56 a.m. (9 minutes) occurred during voir dire window; peremptory challenges exercised after court reconvened at 11:56 a.m. before jury was called at 12:03 p.m.","7",NA,"3:54 p.m.","Jury resumed deliberations at 9:00 a.m. (deliberations started on a prior day). The Court questioned the jury about an unintentional 'question mark' on the Special Verdict Form; the Foreperson circled and initialed the item. Jury was polled, verdict received at 4:10 p.m., jury excused at 4:11 p.m. Time in court was only 8 minutes. Document is an amended courtroom minutes entry.",NA,"one or more days had unresolvable times — verify manually"
"1077","federal government, individual","corporation",NA,NA,"2","4","plaintiff","liability only — jury found defendants made major or significant changes to 5 hide export certificates knowingly without replacement certificates; found 0 certificates changed with intent to conceal/avoid/decrease obligation","NO","NO","0",NA,"0",NA,"03/14/2009","This is a False Claims Act case (qui tam) involving hide export certificates. The verdict form addresses only liability questions about whether defendants knowingly altered certificates. No damages were determined by this jury. The date is approximately the 14th of March 2009 based on handwritten date. Question 4 found 0 certificates changed with concealment intent, which may limit damages exposure under the FCA.",NA,NA,NA,NA,NA,NA,"03/09/2009","Senior Judge John L. Kane","12",NA,"4","3","3","88","Recess from 11:47 a.m. to 11:56 a.m. (9 minutes) occurred during voir dire window; peremptory challenges exercised after court reconvened at 11:56 a.m. before jury was called at 12:03 p.m.","7",NA,"3:54 p.m.","Jury resumed deliberations at 9:00 a.m. (deliberations started on a prior day). The Court questioned the jury about an unintentional 'question mark' on the Special Verdict Form; the Foreperson circled and initialed the item. Jury was polled, verdict received at 4:10 p.m., jury excused at 4:11 p.m. Time in court was only 8 minutes. Document is an amended courtroom minutes entry.",NA,"one or more days had unresolvable times — verify manually"
"1077","federal government, individual","corporation",NA,NA,"2","4","plaintiff","liability only — jury found defendants made major or significant changes to 5 hide export certificates knowingly without replacement certificates; found 0 certificates changed with intent to conceal/avoid/decrease obligation","NO","NO","0",NA,"0",NA,"03/14/2009","This is a False Claims Act case (qui tam) involving hide export certificates. The verdict form addresses only liability questions about whether defendants knowingly altered certificates. No damages were determined by this jury. The date is approximately the 14th of March 2009 based on handwritten date. Question 4 found 0 certificates changed with concealment intent, which may limit damages exposure under the FCA.",NA,NA,NA,NA,NA,NA,"03/09/2009","Senior Judge John L. Kane","12",NA,"4","3","3","88","Recess from 11:47 a.m. to 11:56 a.m. (9 minutes) occurred during voir dire window; peremptory challenges exercised after court reconvened at 11:56 a.m. before jury was called at 12:03 p.m.","7",NA,"3:54 p.m.","Jury resumed deliberations at 9:00 a.m. (deliberations started on a prior day). The Court questioned the jury about an unintentional 'question mark' on the Special Verdict Form; the Foreperson circled and initialed the item. Jury was polled, verdict received at 4:10 p.m., jury excused at 4:11 p.m. Time in court was only 8 minutes. Document is an amended courtroom minutes entry.",NA,"one or more days had unresolvable times — verify manually"
"1100303","corporation, individual","county","Mixed",NA,"5","1","plaintiff",NA,"NO","NO","400400",NA,"0",NA,"12/21/2012","St. Paul Sober Living LLC awarded $400,000; Chris Edrington, Donald Edrington, Adam Tipton, and Alex Colins each awarded $100 (nominal damages, as jury found no proximate money damages for those individuals). Retaliation claim found for St. Paul Sober Living LLC only; not for Chris or Donald Edrington. Discrimination (Q1) found yes. Juror names redacted on the signature page.",NA,NA,NA,NA,NA,"7","12/18/2012","Judge R. Brooke Jackson","7","23","2","3","3","114","Between the 9:46 a.m. voir dire start timestamp and actual voir dire commencement, preliminary instructions by the Court had already been noted; between the end of voir dire by Ms. Coleman and the swearing of jurors, peremptory challenges and cause excusals were recorded. A recess from 10:07 a.m. to 11:12 a.m. (65 minutes) occurred within the voir dire window and is subtracted. Net calculation: 9:46 a.m. to approximately 12:21 p.m. (when court recessed after jury instructions) is not used; instead, voir dire ends when jurors are sworn. Voir dire by Coleman ends at 11:40 a.m.; jurors sworn before 12:21 p.m. recess. Bench conference at 11:12 a.m. noted upon return from recess.","4","9:41 a.m.","11:58 a.m.","There was a mid-deliberation recess (11:00 a.m. to 11:58 a.m.) during which the court addressed jurors' questions with parties; Mr. Polin appeared by phone for that session. After verdict was read, court granted plaintiff's oral request for a permanent injunction enjoining the Board of County Commissioners from enforcing its zoning code in a way that would require the sober living house to be removed, subject to submission of a written order. Total court time recorded as 01:06.",137,NA
"1100767","individual","individual","Male","Male","1","2","defendant","Jury found in favor of both defendants on all questions (unlawful arrest, excessive force, willful and wanton negligence, and outrageous conduct). Plaintiff's certification section was not signed; defendant certification section was signed for both Michael Donnellon and Aaron Sandoval.","YES","YES","0","0","0",NA,"09/27/2017","Questions Five and Six (actual and punitive damages) were not reached because all liability questions were answered in favor of the defendants. The verdict form included spaces for actual and punitive damages but they were left blank as the jury found for the defendants on all counts.",NA,NA,NA,NA,NA,NA,"08/04/2014","Senior District Judge Richard P. Matsch","11",NA,"5","3","3","115","Eighteen jurors called to the jury box before voir dire began at 8:40 a.m.; bench conference from 10:35 to 10:37 a.m. for counsel to pass jurors for cause occurred between the end of court voir dire and juror selection","6",NA,NA,"Case settled before jury deliberations began. Court imposed jury costs of $4,950.76 to be paid equally between plaintiff and defendants. Order Dismissing Case with Prejudice signed. Jury was informed of settlement and discharged. No verdict was reached. Total court time on final day was 16 minutes.",NA,"one or more days had unresolvable times — verify manually"
